id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
5779264,"LJ. CENTER, ČOPOVA ULICA",Center,2,1895,157.5,495000.0,Prodaja,Stanovanje
6004791,"LJ. CENTER, DALMATINOVA ULICA 10",Center,2,2015,126.0,439000.0,Prodaja,Stanovanje
6040248,"LJ. CENTER, FERENTOV VRT",Center,3,1971,133.0,330000.0,Prodaja,Stanovanje
6050951,"LJ. CENTER, GESTRINOVA ULICA",Center,3,1929,159.0,324500.0,Prodaja,Stanovanje
6022395,"LJ. CENTER, GORNJI TRG",Center,2,1763,65.7,155000.0,Prodaja,Stanovanje
6061558,"LJ. CENTER, GORNJI TRG",Center,2,1732,206.7,620000.0,Prodaja,Stanovanje
6065126,"LJ. CENTER, ILIRSKA ULICA",Center,2,1948,105.0,211000.0,Prodaja,Stanovanje
6043609,"LJ. CENTER, KAPITELJ, BARVARSKA STEZA",Center,1,2000,65.0,280000.0,Prodaja,Stanovanje
6060447,"LJ. CENTER, KERSNIKOVA ULICA",Center,4,1957,69.5,265000.0,Oddaja,Stanovanje
6065302,"LJ. CENTER, KODELJEVO",Center,1,1959,64.8,135000.0,Prodaja,Stanovanje
6067768,"LJ. CENTER, KOLODVORSKA",Center,1,1896,134.0,398000.0,Prodaja,Stanovanje
6061872,"LJ. CENTER, KOTNIKOVA ULICA",Center,5,2001,43.8,121000.0,Prodaja,Stanovanje
6069557,"LJ. CENTER, MESARSKA CESTA",Center,P,2006,47.0,127000.0,Prodaja,Stanovanje
6012840,"LJ. CENTER, MESTNI TRG",Center,1,1800,45.4,154000.0,Prodaja,Stanovanje
5910321,"LJ. CENTER, MESTNI TRG",Center,1,1900,90.0,349000.0,Prodaja,Stanovanje
5964480,"LJ. CENTER, MESTNI TRG",Center,3,1500,115.0,250000.0,Prodaja,Stanovanje
6043931,"LJ. CENTER, MESTNI TRG",Center,3,1753,176.0,650000.0,Prodaja,Stanovanje
6028024,"LJ. CENTER, MESTNI TRG",Center,1,1500,357.7,650000.0,Prodaja,Stanovanje
6049460,"LJ. CENTER, MIKLOŠIČEVA ULICA",Center,3,1928,83.8,330000.0,Prodaja,Stanovanje
6010157,"LJ. CENTER, NEPOSREDNA BLIŽINA VILE URBANA",Center,3,1970,88.0,280000.0,Prodaja,Stanovanje
6061132,"LJ. CENTER, ODLIČNA LOKACIJA BLIZU CENTRA",Center,2,2013,202.71,575000.0,Prodaja,Stanovanje
6021447,"LJ. CENTER, PARKIRNO MESTO",Center,1,1900,112.5,325000.0,Prodaja,Stanovanje
6069100,"LJ. CENTER, POLJANE",Center,2,1970,85.8,260000.0,Prodaja,Stanovanje
6069628,"LJ. CENTER, POLJANSKO NABREŽJE",Center,4,2007,160.7,450000.0,Prodaja,Hiša
5849169,"LJ. CENTER, PRAŽAKOVA ULICA",Center,2,1905,110.0,490000.0,Prodaja,Stanovanje
